Id;Label;indegree;outdegree;degree;clustering;Clustering Coefficient;;;;;
bc1p7d05edu3dydktne04vayn54m3dy8dwr369vauclcrcmsngq8afms8u9ded;bc1p7d05edu3dydktne04vayn54m3dy8dwr369vauclcrcmsngq8afms8u9ded;1;0;1;0;0;;;;;
bc1qqsg57su654tg9ll5jtd4ms9865kw29z9nuz6pv;bc1qqsg57su654tg9ll5jtd4ms9865kw29z9nuz6pv;0;1;1;0;0;;;;;
bc1qvdwyn664evkjwlrf6yhrlwdlgv5zqcwflpx49k;bc1qvdwyn664evkjwlrf6yhrlwdlgv5zqcwflpx49k;1;0;1;0;0;;;;;
bc1pa93xjxyaf4d22q294c85fu642z2qekkhrt94en87saxlyaldc8jq843x3l;bc1pa93xjxyaf4d22q294c85fu642z2qekkhrt94en87saxlyaldc8jq843x3l;1;2;3;0.5;0;;;;;
bc1pmnhycau5mjf2yw25nadqmgpndv38ls9658tqututcendnlvz6s5q8pz53v;bc1pmnhycau5mjf2yw25nadqmgpndv38ls9658tqututcendnlvz6s5q8pz53v;1;0;1;0;0;;;;;
bc1qrt7rkpswpgmcag7txzf6ps9mvepwgndshqdx6d;bc1qrt7rkpswpgmcag7txzf6ps9mvepwgndshqdx6d;1;3;4;0.333333;0;;;;;
3GhyrTpAywxpsrqPqzH9uj14gEFVkM41tw;3GhyrTpAywxpsrqPqzH9uj14gEFVkM41tw;1;0;1;0;0;;;;;
bc1q2vqnalpxf7uuysgq6e0shhfxjgljuufhglpqax;bc1q2vqnalpxf7uuysgq6e0shhfxjgljuufhglpqax;1;0;1;0;0;;;;;
bc1pdc28r6p8vw3tg9e53h0guf2gd8qu4xvhdxn5wp8zflsxjt384cns5jch7n;bc1pdc28r6p8vw3tg9e53h0guf2gd8qu4xvhdxn5wp8zflsxjt384cns5jch7n;1;2;3;0.5;0;;;;;
bc1pspr484xck3956j2yd3w56geum3qyrrt0zzgu9mw47t3f7jslm6pqhdu0up;bc1pspr484xck3956j2yd3w56geum3qyrrt0zzgu9mw47t3f7jslm6pqhdu0up;1;0;1;0;0;;;;;
bc1qg3ps38d3zsg73vznvqxf47rem8rgsccpwylnx0;bc1qg3ps38d3zsg73vznvqxf47rem8rgsccpwylnx1;1;2;3;0.5;0;;;;;
bc1psjl0vxvl0sqklufw6hk7hdnfegjhuue78u5c9rw38asvxdh88cxq0f88kf;bc1psjl0vxvl0sqklufw6hk7hdnfegjhuue78u5c9rw38asvxdh88cxq0f88kf;1;4;5;0.15;0.3;;;;;
bc1qmg5r79vgy0zgw8jc22nzsaj4ffe5ntraqxs56u;bc1qmg5r79vgy0zgw8jc22nzsaj4ffe5ntraqxs56u;0;1;1;0;0;;;;;
bc1qc49jmpupqv26ztxcu49se0un46lqd2n6ghwvra;bc1qc49jmpupqv26ztxcu49se0un46lqd2n6ghwvra;0;1;1;0;0;;;;;
bc1q4m8rykeq0qv4lpzcnzgn5w53fxrrqz2z2m52ur;bc1q4m8rykeq0qv4lpzcnzgn5w53fxrrqz2z2m52ur;0;1;1;0;0;;;;;
bc1qky400ccaqd9lrv7utale66j3f5z459m32mwv66;bc1qky400ccaqd9lrv7utale66j3f5z459m32mwv67;0;1;1;0;0;;;;;
bc1qpqyt8sejmazle4442hczy2z3mqk8yekfss9t9x;bc1qpqyt8sejmazle4442hczy2z3mqk8yekfss9t9x;4;0;4;0;0;;;;;
bc1qdvhtqvvsfngm7c08sqnlqkhupgtq4ryfhacnxj;bc1qdvhtqvvsfngm7c08sqnlqkhupgtq4ryfhacnxj;0;3;3;0;0;;;;;
bc1qynxvhhclne0zvefrxpqn609dvmg8mlkztwnr5c;bc1qynxvhhclne0zvefrxpqn609dvmg8mlkztwnr5c;1;0;1;0;0;;;;;
bc1qdhpaw4mkyaepul29sqrzdm4mhqk7ensvrl2qcp;bc1qdhpaw4mkyaepul29sqrzdm4mhqk7ensvrl2qcp;1;0;1;0;0;;;;;
bc1ql5cxc0ceur2eslqpd97lhtqfs3y7w655uz9yu9;bc1ql5cxc0ceur2eslqpd97lhtqfs3y7w655uz9yu10;1;0;1;0;0;;;;;
