Source;Target;Type;Weight
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;Directed;578615
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1qh4gum32458w2c2cmc72a93fkxh8v8ltxzzprak;Directed;588524
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;Directed;588524
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1qh4gum32458w2c2cmc72a93fkxh8v8ltxzzprak;Directed;588524
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;Directed;588524
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1qh4gum32458w2c2cmc72a93fkxh8v8ltxzzprak;Directed;585221
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;Directed;585221
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1qh4gum32458w2c2cmc72a93fkxh8v8ltxzzprak;Directed;584120
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;Directed;584120
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1qh4gum32458w2c2cmc72a93fkxh8v8ltxzzprak;Directed;575312
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;Directed;575312
19tTn9y5j6vshnXTUXpfC5xd7mrY4AuFFp;bc1qldh6uq73gjzrjywzl4navjtvu5yu4pl9jj4rfr;Directed;4995797
19tTn9y5j6vshnXTUXpfC5xd7mrY4AuFFp;1AQLXAB6aXSVbRMjbhSBudLf1kcsbWSEjg;Directed;4995797
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1qh4gum32458w2c2cmc72a93fkxh8v8ltxzzprak;Directed;583019
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;Directed;583019
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1qh4gum32458w2c2cmc72a93fkxh8v8ltxzzprak;Directed;575312
