addr,value
3NoeSreKxSaVmpc2uVh1A7Pgw9KH1JkmDZ,450000
3NBZDCpmPzye14ZRfFeCPbk37dt9ZLQHYk,231520
36SGgCF5Bowq1LPyZnoopjSGSA1Mbj9rq1,184246
bc1pcw3hpg95v3gxuggcq6savuuq720ekgh9rhy7967hsfctt7uqua3q39s2z2,7388946
bc1q3886h9p6sxg6u5qfecyhjske4pjlxk4wjmelq4,16270
bc1q2z5a7pt06knwsrdzfhawr0rw8pgk4gwrzwlnyr,36968
bc1pcw3hpg95v3gxuggcq6savuuq720ekgh9rhy7967hsfctt7uqua3q39s2z2,7333794
bc1pw79f37tl2skhk5tl696hq3cvj0n45e3glp6ddqnpkce0d5356tes9qn325,412612
bc1qjcza3hmgg805yr009pjumz7zenl6zrrsfdxyhx,380000
bc1pw79f37tl2skhk5tl696hq3cvj0n45e3glp6ddqnpkce0d5356tes9qn325,30916
,0
bc1qwvmthzlj5a5hhvuzj3kcdqr33rz8xx78hqvp67,731758
bc1q8jlcuv987ac9nuvq7m6xe8nsqx8d696wxa3v42,137295
bc1qhra3dlyjjzp6pf0y3ehzdp9e35j4e7exshpt0c,593194
